course,lecturer,students,venue,room,capacity,timeslot,duration,level
CSC415/ COS331,Dr. Jonathan Oluranti,431,HALL201,HALL201,450,Wednesday_8-9,2,400 & 300
CSC112/CST111,Prof. Oladipupo Olufunke Oyejoke,416,HALL201,HALL201,450,Friday_4-5,2,100
GST211,Unknown Lecturer,402,LARGELH,LARGELH,1000,Wednesday_12-1,2,200
ACC111/11 2,Dr. Nwobu Obiamaka,318,HALL307,HALL307,350,Saturday_4-5,2,100
ACC111/112,Dr. Eriabie Sylvester Osarumwense,316,HALL107,HALL107,500,Monday_2-3,2,100
BUS111,Unknown Lecturer,313,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Tuesday_2-3,2,100
ACC111,Mr. Ogaba Moses,309,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Friday_4-5,2,100
CSC233/211/235,Prof. Oyelade Jelili Olarenwaju,305,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Thursday_12-1,2,200
PSY116,Dr. Agoha Benedict,299,HALL201,HALL201,450,Tuesday_1-2,2,100
ACC119,Dr. Nwobodo Helen Ohioren,298,CHAPEL,CHAPEL,1200,Thursday_11-12,2,100
PSS 112,Unknown Lecturer,297,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Wednesday_11-12,2,100
ARC111,Dr. Olagunju Omoniyi Ogheneruemu,297,COMPUTER_LAB,COMPUTER_LAB,300,Thursday_9-10,1,100
PSY112,Prof. Adekeye Olujide,297,HALL203,HALL203,400,Monday_5-6,2,100
PSS113,Unknown Lecturer,296,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Thursday_2-3,2,100
ARC113/133,Dr. Jegede Oladunni Foluke,293,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Thursday_4-5,2,100
SOC115,Mr. Olore Amos Adebayo,292,LARGELH,LARGELH,1000,Monday_8-9,2,100
CMS111,Unknown Lecturer,292,HALL204,HALL204,400,Wednesday_3-4,2,100
MAT112,Dr. Oluwadare Julius Remi,291,LT1,LT1,2500,Tuesday_4-5,2,100
GET111,Unknown Lecturer,290,HALL203,HALL203,400,Wednesday_3-4,2,100
POS115,Unknown Lecturer,289,LIBRARY,LIBRARY,500,Monday_10-11,2,100
PSI112,Unknown Lecturer,287,LIBRARY,LIBRARY,500,Wednesday_5-6,2,100
MEE 111,Dr. Omotosho Olugbenga Adeshola,286,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Friday_3-4,1,100
GST311,Unknown Lecturer,285,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Saturday_10-11,2,300
MKT111,Unknown Lecturer,285,HALL203,HALL203,400,Wednesday_1-2,2,100
ECO113,Dr. Aderounmu Busayo Olubunmi,281,HALL203,HALL203,400,Friday_4-5,2,100
MAT/MTH111,Mr. Odekina Onuche Gabriel,279,LT1,LT1,2500,Friday_10-11,2,100
COV CIT111,Unknown Lecturer,272,HALL201,HALL201,450,Wednesday_3-4,1,100
MAT 114/ STA 112,Dr. Alao Grace Olafunke,272,HALL306,HALL306,350,Friday_8-9,1,100
PSI 111,Unknown Lecturer,271,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Wednesday_1-2,2,100
TMC111/ COV TMC111,Unknown Lecturer,268,STUDIO 100,STUDIO 100,280,Friday_1-2,1,100
IRL113,Unknown Lecturer,267,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Monday_9-10,2,100
ARC119/132,Mr. Ndimako Onyedikachukwu Oziomachukwu,264,STUDIO 100,STUDIO 100,280,Saturday_4-5,1,100
BUA111,Unknown Lecturer,264,LIBRARY,LIBRARY,500,Monday_4-5,2,100
ENG112,Dr. English Lecturer (ENG placeholder),263,HALL107,HALL107,500,Wednesday_12-1,2,100
MEE111,Dr. Dirisu Joseph Osekhoghene,262,HALL202,HALL202,450,Friday_3-4,1,100
SOC111,Dr. Jegede Ajibade Ebenezer,260,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Saturday_3-4,2,100
ESM112,Unknown Lecturer,260,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Friday_4-5,2,100
MCM131,Unknown Lecturer,260,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Friday_11-12,2,100
BUA 111,Unknown Lecturer,258,HALL202,HALL202,450,Wednesday_5-6,2,100
PEE 111/ PET 311,Unknown Lecturer,257,HALL204,HALL204,400,Thursday_2-3,2,100 / 300
PSY 117,Dr. Sussan Olufunmilola Adeusi,257,HALL108,HALL108,350,Saturday_4-5,2,100
BCH453/359,Prof. Adebayo Abiodun Humphrey,253,HALL306,HALL306,350,Thursday_2-3,1,400 & 300
MCM115,Unknown Lecturer,252,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Saturday_5-6,2,100
CSC214,Mr. Osofuye Odunayo,252,LARGELH,LARGELH,1000,Friday_4-5,1,200
CSC231/310,Dr. Jonathan Oluranti,250,CHE 200LH,CHE 200LH,250,Friday_5-6,2,200/300
LIT112,Unknown Lecturer,249,CHE 200LH,CHE 200LH,250,Wednesday_4-5,2,100
PRE413,Unknown Lecturer,248,TEMP_HALL_1,TEMP_HALL_1,250,Monday_8-9,2,100
COV-ENG118,Unknown Lecturer,247,COMPUTER_LAB,COMPUTER_LAB,300,Wednesday_11-12,2,100
ICE111,Unknown Lecturer,245,HALL201,HALL201,450,Saturday_9-10,2,100
GST312,Unknown Lecturer,245,E202,E202,250,Wednesday_3-4,2,300
CHM111,Prof. Williams Akan Bassey,245,HALL204,HALL204,400,Tuesday_4-5,1,100
IRL111,Unknown Lecturer,243,HALL307,HALL307,350,Saturday_3-4,2,100
COS111,Unknown Lecturer,242,CHE 200LH,CHE 200LH,250,Thursday_2-3,2,100
ENG 115,Dr. English Lecturer (ENG placeholder),242,HALL202,HALL202,450,Friday_10-11,2,100
MAT114/ STA112,Dr. Oghonyon Jimevwo Godwin,240,LARGELH,LARGELH,1000,Monday_11-12,2,100
SOC112,Prof. George Tayo Ola,239,HALL308,HALL308,250,Friday_12-1,2,100
FAA112,Unknown Lecturer,237,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Friday_12-1,2,100
SOC114,Dr. Adebayo Mercy Ebunoluwa,233,E202,E202,250,Thursday_1-2,2,100
MCM111,Unknown Lecturer,232,STUDIO100,STUDIO100,250,Tuesday_11-12,2,100
MCM113,Unknown Lecturer,231,LIBRARY,LIBRARY,500,Saturday_1-2,2,100
ARC111/ FAA113,Dr. Omoyeni Fulani,230,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Wednesday_5-6,2,100
CSC214/DTS314,Mr. Franklyn Emmanuel Owajiya,230,HALL307,HALL307,350,Thursday_9-10,2,200/300
STA 111,Unknown Lecturer,230,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Thursday_1-2,1,100
POS 111,Unknown Lecturer,228,HALL308,HALL308,250,Saturday_8-9,2,100
ECO112/ECN216,Dr. Ewetan Olabanji Olukayode,227,TEMP_HALL_1,TEMP_HALL_1,250,Monday_11-12,2,100/200
BLD112,Unknown Lecturer,227,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Monday_1-2,2,100
PHY111,Unknown Lecturer,226,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Friday_11-12,2,100
CSC231/31 0,Mr. Okuoyo Otavie Loveday,223,E201,E201,250,Tuesday_12-1,2,200
ACC212,Dr. Nwobu Obiamaka,223,COMPUTER LAB,COMPUTER LAB,250,Friday_12-1,3,200
CIT111,Unknown Lecturer,222,COMPUTER LAB,COMPUTER LAB,250,Tuesday_3-4,1,100
CHM119/117,Prof. Williams Akan Bassey,222,TEMP_HALL_1,TEMP_HALL_1,250,Wednesday_3-4,3,100
ACC213,Dr. Nwobodo Helen Ohioren,221,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Thursday_2-3,2,200
FIN 111,Unknown Lecturer,220,E301,E301,220,Saturday_1-2,2,100
PSY111,Prof. Gesinde Abiodun,219,HALL107,HALL107,500,Saturday_1-2,2,100
BUD111,Unknown Lecturer,219,HALL201,HALL201,450,Friday_12-1,2,100
ECO114,Prof. Osabuohien Stephen Evans,218,HALL204,HALL204,400,Monday_5-6,2,100
GEC117/ GET111,Unknown Lecturer,217,COMPUTER_LAB,COMPUTER_LAB,300,Thursday_2-3,2,100
BUA311/ BUS413,Unknown Lecturer,217,E301,E301,220,Saturday_4-5,2,300 & 400
EDS111,Unknown Lecturer,216,F301,F301,220,Thursday_2-3,1,100
CEN111,Unknown Lecturer,216,CHAPEL,CHAPEL,1200,Monday_9-10,2,100
MKT211,Unknown Lecturer,215,STUDIO100,STUDIO100,250,Thursday_5-6,2,200
IRL 112,Unknown Lecturer,215,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Tuesday_12-1,2,100
ARC232,Dr. Akinola Adedotun Oyebola,214,PET 300LH,PET 300LH,220,Saturday_3-4,2,200
CSC316/MIS316,Dr. Ezenwoke Azubuike Anslem,213,H301,H301,220,Friday_1-2,2,300
POS 213,Unknown Lecturer,213,HALL308,HALL308,250,Saturday_9-10,2,200
FIN214,Unknown Lecturer,212,HALL203,HALL203,400,Friday_9-10,2,200
MAT/MTH215,Dr. Oghonyon Jimevwo Godwin,212,HALL204,HALL204,400,Saturday_10-11,2,200
PSY115,Dr. Gbadebo Adejumo,212,PTE 300LH,PTE 300LH,220,Tuesday_5-6,2,100
TCH111,Unknown Lecturer,212,PTE 300LH,PTE 300LH,220,Thursday_2-3,2,100
ECN111/ECO111,Unknown Lecturer,211,CHE 300LH,CHE 300LH,220,Saturday_10-11,2,100
CSC318,Dr. Ezenwoke Azubuike Anslem,211,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Tuesday_9-10,2,300
EHR 215,Unknown Lecturer,211,E202,E202,250,Friday_10-11,2,200
GET232,Unknown Lecturer,210,STUDIO100,STUDIO100,250,Friday_8-9,2,200
CSC314,Ms. Nathaniel Jemimah,210,E301,E301,220,Monday_9-10,2,300
EHR217,Unknown Lecturer,209,COMPUTER LAB,COMPUTER LAB,250,Monday_2-3,2,200
ECO214,Dr. Okorie Uchechukwu Emena,209,STUDIO 200,STUDIO 200,240,Thursday_8-9,2,200
ENG115,Dr. English Lecturer (ENG placeholder),209,LARGELH,LARGELH,1000,Wednesday_10-11,3,100
ESM111,Unknown Lecturer,209,LARGELH,LARGELH,1000,Saturday_1-2,2,100
MAC 114/ MCM 112,Dr. Oyesomi Kehinde Opeyemi,208,HALL306,HALL306,350,Monday_2-3,2,100
BUA112,Unknown Lecturer,208,E301,E301,220,Tuesday_2-3,2,100
ACC219,Dr. Alawode Olufemi Peter,208,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Friday_10-11,1,200
BUA/MKT215,Unknown Lecturer,208,E201,E201,250,Saturday_5-6,2,200
ESM211,Unknown Lecturer,207,LT2,LT2,1400,Friday_4-5,2,200
400L & 500L PROJ.WOR K,Unknown Lecturer,207,HALL203,HALL203,400,Saturday_5-6,2,400 & 500
BLD213,Unknown Lecturer,207,LARGELH,LARGELH,1000,Saturday_12-1,2,200
ECN/ECO2 11,Unknown Lecturer,206,H301,H301,220,Friday_9-10,2,200
SOC113,Prof. Imhonopi David,206,HALL202,HALL202,450,Tuesday_4-5,2,100
MCM 232,Unknown Lecturer,205,STUDIO 200,STUDIO 200,240,Monday_9-10,2,200
PHY112/11 3,Unknown Lecturer,205,E201,E201,250,Wednesday_9-10,2,100
FAC 211,Unknown Lecturer,205,HALL108,HALL108,350,Thursday_8-9,2,200
MAT/MTH2 11,Dr. Akingbade Toluwalase Janet,205,H301,H301,220,Monday_10-11,1,200
STA111,Unknown Lecturer,205,TEMP_HALL_2,TEMP_HALL_2,250,Monday_4-5,2,100
ARC112/131,Dr. Akinola Adedotun Oyebola,204,CVE 200LH,CVE 200LH,250,Monday_9-10,2,100
EHR111,Unknown Lecturer,204,STUDIO100,STUDIO100,250,Monday_5-6,2,100
MAT/MTH2 10,Mr. Odekina Onuche Gabriel,204,G201,G201,220,Saturday_5-6,2,200
SOC 216,Prof. George Tayo Ola,203,CHE 300LH,CHE 300LH,220,Monday_9-10,2,200
BUA 212,Unknown Lecturer,202,E301,E301,220,Tuesday_10-11,2,200
PSY232,Prof. Adekeye Olujide,202,LARGELH,LARGELH,1000,Thursday_4-5,2,200
MAC217,Ms. Okpongkpong Grace Imaikop,202,G201,G201,220,Monday_3-4,2,200
EHR214,Unknown Lecturer,202,HALL308,HALL308,250,Monday_11-12,2,200
MAT/MTH213,Dr. Akingbade Toluwalase Janet,201,CHE 300LH,CHE 300LH,220,Saturday_4-5,2,200
BCH212,Dr. Rotimi Oluwakemi Anuoluwapo,201,HALL306,HALL306,350,Wednesday_4-5,2,200
CBS 211,Unknown Lecturer,201,HALL302(PHY LAB),HALL302(PHY LAB),220,Tuesday_3-4,2,200
BUS211/AMS111,Unknown Lecturer,201,H301,H301,220,Monday_4-5,2,200/100
BLD115,Unknown Lecturer,201,STUDIO 200,STUDIO 200,240,Thursday_5-6,2,100
ENG111,Dr. Language Lecturer (LAN placeholder),200,HALL308,HALL308,250,Monday_5-6,2,100
CSC 334,Prof. Oni Aderonke Atinuke,200,TEMP_HALL_2,TEMP_HALL_2,250,Saturday_4-5,2,300
FIN217,Unknown Lecturer,199,LT1,LT1,2500,Wednesday_8-9,2,200
EHR215,Unknown Lecturer,199,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Wednesday_4-5,2,200
PHY131,Unknown Lecturer,198,CVE 200LH,CVE 200LH,250,Monday_12-1,2,100
ESM 215,Unknown Lecturer,198,STUDIO 100,STUDIO 100,280,Friday_10-11,2,200
GET238,Unknown Lecturer,198,HALL107,HALL107,500,Saturday_5-6,2,200
GET233,Unknown Lecturer,196,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Friday_1-2,2,200
MCM214,Unknown Lecturer,196,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Saturday_10-11,2,200
ARC211/23 1,Mrs. Nduka-Kalu Ije Chidinma,196,MCE 300LH,MCE 300LH,220,Wednesday_10-11,3,200
CYB211,Unknown Lecturer,196,A201,A201,220,Wednesday_1-2,1,200
ESM212,Unknown Lecturer,195,G301,G301,200,Wednesday_2-3,2,200
CSC332/312,Mrs. Abiodun Theresa Nkechi,195,HALL107,HALL107,500,Monday_4-5,2,300
BUA212,Unknown Lecturer,195,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Tuesday_5-6,1,200
GEC216,Unknown Lecturer,195,HALL204,HALL204,400,Monday_8-9,2,200
IRL212,Unknown Lecturer,194,GBL,GBL,200,Monday_5-6,2,200
EDS211/ ENT211,Unknown Lecturer,194,CHE 200LH,CHE 200LH,250,Thursday_12-1,2,200
CIT213,Unknown Lecturer,194,CHE 300LH,CHE 300LH,220,Thursday_2-3,2,200
CHM234,Dr. Etchie Ayotunde Titilayo,193,HALL201,HALL201,450,Friday_8-9,1,200
EHR216,Unknown Lecturer,193,LIBRARY,LIBRARY,500,Friday_10-11,2,200
GET 231,Unknown Lecturer,192,HALL201,HALL201,450,Monday_1-2,2,200
LIT211,Unknown Lecturer,192,STUDIO 200,STUDIO 200,240,Friday_5-6,2,200
BCH215/21 3,Prof. Chinedu Shalom Nwodo,191,F301,F301,220,Wednesday_5-6,2,200
POS212,Unknown Lecturer,191,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Wednesday_12-1,2,200
MAT/ MTH 211,Mr. Adoghe Victor Osahon,190,CVE 300LH,CVE 300LH,220,Friday_10-11,2,200
BUA213,Unknown Lecturer,190,PTE 300LH,PTE 300LH,220,Wednesday_1-2,2,200
MCM216,Unknown Lecturer,190,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Thursday_5-6,2,200
IRL213,Unknown Lecturer,190,PTE 300LH,PTE 300LH,220,Saturday_9-10,2,200
MAT/MTH217,Prof. Akewe Hudson,190,HALL302(PHY LAB),HALL302(PHY LAB),220,Friday_5-6,1,200
SOC 212,Prof. George Tayo Ola,189,HALL107,HALL107,500,Tuesday_4-5,2,200
CIS215,Ms. Nathaniel Jemimah,189,E202,E202,250,Saturday_5-6,1,200
IRL 212,Unknown Lecturer,188,TEMP_HALL_2,TEMP_HALL_2,250,Friday_5-6,1,200
FAA211,Unknown Lecturer,188,CVE 200LH,CVE 200LH,250,Wednesday_12-1,2,200
FIN215,Unknown Lecturer,187,CVE 200LH,CVE 200LH,250,Friday_9-10,2,200
EHR218,Unknown Lecturer,187,MCE 300LH,MCE 300LH,220,Monday_1-2,2,200
CIT211,Unknown Lecturer,187,G301,G301,200,Monday_3-4,1,200
ENG210,Dr. Language Lecturer (LAN placeholder),187,HALL202,HALL202,450,Tuesday_12-1,2,200
CHM231,Prof. Ajani Olayinke Ojewale,187,HALL201,HALL201,450,Saturday_5-6,1,200
CIT214,Unknown Lecturer,186,COMPUTER LAB,COMPUTER LAB,250,Friday_4-5,1,200
FIN219,Unknown Lecturer,186,PTE 300LH,PTE 300LH,220,Wednesday_12-1,1,200
ARC236,Dr. Olagunju Omoniyi Ogheneruemu,184,HALL307,HALL307,350,Wednesday_8-9,2,200
MCB231,Unknown Lecturer,184,CHE 300LH,CHE 300LH,220,Saturday_9-10,2,200
SOC217,Dr. Adetunde Christiana Olufunke,183,HALL308,HALL308,250,Saturday_5-6,2,200
ICH211,Unknown Lecturer,183,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Wednesday_2-3,1,200
CHM213,Prof. Williams Akan Bassey,182,F301,F301,220,Monday_1-2,1,200
BCH217,Prof. Adebayo Abiodun Humphrey,182,C301,C301,220,Tuesday_8-9,2,200
ARC212,Dr. Omoyeni Fulani,181,HALL306,HALL306,350,Thursday_12-1,2,200
ECO216,Dr. Agbonjaru Sonia Ifeoma,180,HALL108,HALL108,350,Thursday_2-3,2,200
PSS 213,Unknown Lecturer,179,G201,G201,220,Tuesday_5-6,2,200
MCB213,Unknown Lecturer,179,SQLNEWHORIZON,SQLNEWHORIZON,180,Monday_12-1,2,200
PSY 231,Dr. Gbadebo Adejumo,179,CVE 200LH,CVE 200LH,250,Tuesday_12-1,2,200
MAT217/MTH218,Dr. Agboola Olasunmbo Olaoluwa,179,LARGELH,LARGELH,1000,Wednesday_4-5,2,200
ARC216/233,Dr. Okorigba Regina Kevwe,179,B301,B301,200,Monday_9-10,2,200
ARC235,Dr. Okorigba Regina Kevwe,178,CENTRE CLASS CHE,CENTRE CLASS CHE,200,Tuesday_2-3,1,200
PHY119,Unknown Lecturer,178,HALL308,HALL308,250,Friday_2-3,3,100
BUD212,Unknown Lecturer,178,CVE 400LH,CVE 400LH,180,Tuesday_11-12,2,200
MAC230,Dr. Kayode-Adedeji Tolulope,177,STUDIO100,STUDIO100,250,Saturday_12-1,2,200
MAT212/ MTH212,Prof. Timothy Anake Ashibel,177,CENTRE CLASS,CENTRE CLASS,180,Thursday_1-2,2,200
GET/GEC210,Unknown Lecturer,177,CENTRE CLASS CHE,CENTRE CLASS CHE,200,Monday_12-1,1,200
BIO111,Dr. Aworunse Rotimi Samuel,177,MCE 300LH,MCE 300LH,220,Saturday_3-4,2,100
EHR211,Unknown Lecturer,176,MCB LAB(HALL 212),MCB LAB(HALL 212),180,Friday_5-6,2,200
CSC335,Mr. Dada Ibidapo Dare,176,H301,H301,220,Wednesday_2-3,1,300
IFT211,Mr. Ogbu Henry Nwagu,174,HALL203,HALL203,400,Friday_8-9,2,200
CHM211,Dr. Akinsiku Anuoluwa Abimbola,174,STUDIO200,STUDIO200,220,Friday_1-2,1,200
BCH214,Prof. Afolabi Israel Sunmola,173,CEN500LH,CEN500LH,180,Wednesday_2-3,2,200
MAT216,Dr. Imaga Ogbu Famous,173,G201,G201,220,Monday_1-2,1,200
MTH212,Dr. Adedotun Adedayo Funmi,172,LIBRARY,LIBRARY,500,Monday_3-4,2,200
PSS214,Unknown Lecturer,172,GBL,GBL,200,Monday_9-10,2,200
MCM218,Unknown Lecturer,172,CENTRE CLASS CHE,CENTRE CLASS CHE,200,Thursday_8-9,2,200
BCH211,Prof. Iweala Emeka Joshua,172,HALL203,HALL203,400,Wednesday_10-11,3,200
ECN/ECO212,Unknown Lecturer,172,H301,H301,220,Friday_4-5,2,200
ECO/ECN21 5,Prof. Matthew Augustina Oluwatoyin,171,TEMP_HALL_1,TEMP_HALL_1,250,Friday_3-4,2,200
PSS211,Unknown Lecturer,171,ICE500LH,ICE500LH,180,Friday_9-10,2,200
MAC210/MCM215,Prof. Amodu Lanre Olaolu,170,HALL307,HALL307,350,Saturday_11-12,2,200
PSS 215,Unknown Lecturer,170,CEDS BUILDING,CEDS BUILDING,200,Thursday_10-11,2,200
FIN211,Unknown Lecturer,170,HALL108,HALL108,350,Wednesday_2-3,2,200
ARC215/235,Dr. Adewale Bukola Adejoke,170,CHAPEL,CHAPEL,1200,Monday_8-9,1,200
MKT213,Unknown Lecturer,170,HALL306,HALL306,350,Saturday_2-3,2,200
BUD211,Unknown Lecturer,169,E401A,E401A,180,Saturday_12-1,2,200
LIT 213,Unknown Lecturer,169,HALL302(PHY LAB),HALL302(PHY LAB),220,Wednesday_4-5,2,200
ACC211,Dr. Nwobodo Helen Ohioren,169,H301,H301,220,Monday_11-12,3,200
ECO213,Prof. Osabuohien Stephen Evans,168,HALL202,HALL202,450,Wednesday_2-3,2,200
PSS 212,Unknown Lecturer,168,COMPUTER_LAB,COMPUTER_LAB,300,Monday_10-11,1,200
CMS211,Unknown Lecturer,168,E301,E301,220,Tuesday_4-5,2,200
CSC333/31 9,Prof. Oyelade Jelili Olarenwaju,167,F401,F401,180,Thursday_10-11,2,300
SOC213,Dr. Adebayo Mercy Ebunoluwa,166,STUDIO 300,STUDIO 300,180,Friday_4-5,2,200
MCT 212,Unknown Lecturer,166,LT2,LT2,1400,Saturday_12-1,2,200
MCB214/315,Unknown Lecturer,165,COMPUTER LAB,COMPUTER LAB,250,Monday_5-6,2,200/300
PHY213,Unknown Lecturer,165,LARGELH,LARGELH,1000,Tuesday_3-4,2,200
MCM 231,Unknown Lecturer,164,E201,E201,250,Monday_3-4,2,200
FIN 217,Unknown Lecturer,163,G301,G301,200,Tuesday_2-3,1,200
CSC317,Mr. Osofuye Odunayo,163,MCE 400LH,MCE 400LH,180,Monday_1-2,2,300
SVY211,Unknown Lecturer,163,TEMP_HALL_1,TEMP_HALL_1,250,Monday_3-4,2,200
PHY232,Unknown Lecturer,162,HALL108,HALL108,350,Tuesday_8-9,2,200
FIN212,Unknown Lecturer,162,STUDIO300,STUDIO300,180,Thursday_12-1,2,200
ACC211/21 8,Prof. Iyoha Francis Odianonsen,162,STUDIO 200,STUDIO 200,240,Wednesday_4-5,2,200
BUD218,Unknown Lecturer,162,PTE 300LH,PTE 300LH,220,Wednesday_11-12,2,200
EHR212,Unknown Lecturer,162,CEDS BUILDING,CEDS BUILDING,200,Saturday_3-4,2,200
ACC215,Dr. Omodero Onyinyechi Cordelia,162,HALL302PHYLAB,HALL302PHYLAB,180,Saturday_4-5,1,200
CSC 313,Mrs. Abiodun Theresa Nkechi,162,ICE500LH,ICE500LH,180,Wednesday_12-1,1,300
MCB212,Unknown Lecturer,162,MCE 400LH,MCE 400LH,180,Tuesday_4-5,1,200
ENG 212,Dr. English Lecturer (ENG placeholder),162,HALL306,HALL306,350,Friday_1-2,2,200
GET210,Unknown Lecturer,161,STUDIO100,STUDIO100,250,Tuesday_10-11,2,200
CIT 213,Unknown Lecturer,161,CENTRE CLASS,CENTRE CLASS,180,Friday_3-4,1,200
ESM217,Unknown Lecturer,161,MCB LAB(HALL 212),MCB LAB(HALL 212),180,Thursday_3-4,2,200
SOC216,Dr. Jegede Ajibade Ebenezer,160,HALL203,HALL203,400,Monday_4-5,2,200
SOC215,Dr. Olonade Olawale Yinusa,160,CEN500LH,CEN500LH,180,Tuesday_8-9,2,200
BUA 211,Unknown Lecturer,159,HALL107,HALL107,500,Saturday_11-12,2,200
ACC 212,Mr. Ogaba Moses,159,STUDIO200,STUDIO200,220,Thursday_2-3,1,200
ENG232,Dr. Language Lecturer (LAN placeholder),159,C301,C301,220,Wednesday_8-9,2,200
CHM218,Dr. Ehi-Eromosele Cyril Osereme,158,MCE 300LH,MCE 300LH,220,Saturday_2-3,2,200
MAT 213,Dr. Oghonyon Jimevwo Godwin,158,LIBRARY,LIBRARY,500,Saturday_9-10,1,200
