course,lecturer,students,venue,room,capacity,timeslot,duration,level
GET235,Unknown Lecturer,156,HALL108,HALL108,350,Monday_12-1,2,200
PHY212,Unknown Lecturer,156,HALL108,HALL108,350,Thursday_5-6,2,200
BIO117,Mrs. Ajiboye Ibukun Babafemi,155,HALL308,HALL308,250,Tuesday_3-4,2,100
MAT/MTH2 14,Dr. Akingbade Toluwalase Janet,155,C301,C301,220,Friday_9-10,2,200
MTH216,Dr. Odetunmibi Oluwole Akinwunmi,155,STUDIO 100,STUDIO 100,280,Monday_10-11,2,200
ECO 217,Prof. Azuh Dominic Ezinwa,155,PTE 300LH,PTE 300LH,220,Monday_1-2,2,200
GET214,Unknown Lecturer,154,A201,A201,220,Thursday_12-1,2,200
EEE510,Mr. Adelakun Adebiyi Adisa,154,STUDIO 200,STUDIO 200,240,Wednesday_8-9,2,500
CSC313,Mr. Jegede Tope John,154,HALL203,HALL203,400,Saturday_8-9,2,300
GEC214 TUTORIAL,Unknown Lecturer,154,E101,E101,250,Saturday_8-9,1,200
PSY219,Dr. Adedayo Odukoya,153,HALL201,HALL201,450,Friday_5-6,2,200
CSC312,Mr. Ogbu Henry Nwagu,153,HALL308,HALL308,250,Saturday_2-3,1,300
ACC314,Mr. Ogaba Moses,153,HALL307,HALL307,350,Thursday_8-9,1,300
ECN215,Unknown Lecturer,152,STUDIO 100,STUDIO 100,280,Saturday_5-6,1,200
PSY213,Dr. Samson Femi Agberotimi,152,CHAPEL,CHAPEL,1200,Tuesday_2-3,2,200
MCB211/331,Unknown Lecturer,151,MCB LAB(HALL 212),MCB LAB(HALL 212),180,Monday_5-6,2,200/300
IRL211,Unknown Lecturer,150,STUDIO 100,STUDIO 100,280,Tuesday_3-4,2,200
EHR213,Unknown Lecturer,150,C401,C401,180,Saturday_9-10,2,200
MCM219,Unknown Lecturer,149,C301,C301,220,Friday_5-6,2,200
PSY218,Dr. Gbadebo Adejumo,149,SQLNEWHORIZON,SQLNEWHORIZON,180,Wednesday_12-1,2,200
HMD211,Unknown Lecturer,149,GBL,GBL,200,Friday_3-4,1,200
BUA211,Unknown Lecturer,149,PET 300LH,PET 300LH,220,Monday_12-1,2,200
BUD215,Unknown Lecturer,148,HALL202,HALL202,450,Thursday_3-4,2,200
ENG 214,Dr. English Lecturer (ENG placeholder),148,G301,G301,200,Saturday_3-4,2,200
BUD217,Unknown Lecturer,148,STUDIO200,STUDIO200,220,Saturday_12-1,2,200
PSS212,Unknown Lecturer,148,PTE 300LH,PTE 300LH,220,Tuesday_10-11,2,200
PHY 215,Unknown Lecturer,147,SQLNEWHORIZON,SQLNEWHORIZON,180,Tuesday_9-10,2,200
BUA 214,Unknown Lecturer,147,HALL204,HALL204,400,Wednesday_12-1,2,200
PSI213,Unknown Lecturer,147,EIE500LH,EIE500LH,180,Tuesday_1-2,1,200
PSI214,Unknown Lecturer,146,E301,E301,220,Monday_3-4,2,200
EEE 517,Mr. Sobola Gabriel,146,E101,E101,250,Thursday_11-12,2,500
MKT215,Unknown Lecturer,146,COMPUTER_LAB,COMPUTER_LAB,300,Monday_4-5,2,200
SOC211,Prof. George Tayo Ola,146,E101,E101,250,Wednesday_2-3,2,200
ARC213/234,Dr. Adewale Bukola Adejoke,145,LARGELH,LARGELH,1000,Thursday_1-2,5,200
PHY214,Unknown Lecturer,145,E201,E201,250,Wednesday_3-4,2,200
ARC 211/ 231,Dr. Babalola Daniel Olatunde,145,E201,E201,250,Wednesday_8-9,3,200
FRE 211,Unknown Lecturer,145,CHEM LAB (HALL113),CHEM LAB (HALL113),160,Thursday_10-11,2,200
CEN211,Unknown Lecturer,144,CHE 200LH,CHE 200LH,250,Wednesday_12-1,2,200
SOC214,Mr. Olore Amos Adebayo,144,CHEM LAB (HALL111),CHEM LAB (HALL111),160,Monday_2-3,2,200
MEE311,Dr. Ekpe Ikenna Christopher,144,TEMP_HALL_1,TEMP_HALL_1,250,Saturday_12-1,1,300
CHE211,Dr. Oke Michael Abidemi,144,CVE 200LH,CVE 200LH,250,Tuesday_10-11,2,200
PHY218,Unknown Lecturer,143,E201,E201,250,Wednesday_2-3,3,200
CSC431,Prof. Oyelade Jelili Olarenwaju,143,HALL308,HALL308,250,Wednesday_11-12,2,400
EIE311,Unknown Lecturer,143,CHE 400LH,CHE 400LH,180,Friday_2-3,1,300
SSC311,Unknown Lecturer,142,STUDIO 300,STUDIO 300,180,Tuesday_1-2,2,300
EHR313,Unknown Lecturer,142,CVE 200LH,CVE 200LH,250,Friday_4-5,2,300
TMC311,Unknown Lecturer,142,HALL213PHYLAB,HALL213PHYLAB,150,Wednesday_12-1,1,300
BUA313,Unknown Lecturer,141,HALL203,HALL203,400,Thursday_8-9,2,300
CVE 337,Prof. Ede Anthony Ekem,140,CHE 500LH,CHE 500LH,150,Friday_5-6,2,300
PET316,Mr. Ipinsokan Sunday Bolu,140,PTE 300LH,PTE 300LH,220,Monday_3-4,2,300
GET 311,Unknown Lecturer,140,CEN500LH,CEN500LH,180,Monday_11-12,2,300
EEE 513,Mr. Ojewande Adekunle Oyewumi,140,CHE 400LH,CHE 400LH,180,Saturday_10-11,2,500
CEN511,Unknown Lecturer,140,F401,F401,180,Wednesday_4-5,2,300
SOC 333,Dr. Adebayo Mercy Ebunoluwa,140,PTE 500LH,PTE 500LH,150,Thursday_5-6,2,300
PET314/33 3,Engr. Dr. Oluwasanmi Olabode,140,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Saturday_11-12,1,300
ICH314,Unknown Lecturer,139,E101,E101,250,Thursday_10-11,2,300
EIE314/331,Unknown Lecturer,139,C401,C401,180,Friday_5-6,2,300
MAT315,Dr. Oluwadare Julius Remi,139,PTE 500LH,PTE 500LH,150,Tuesday_9-10,2,300
EEE 516,Dr. Samuel Isaac Adekunle,139,CHEMLAB(HALL 112),CHEMLAB(HALL 112),150,Friday_11-12,2,500
ECO / ECN 311,Prof. Osabuohien Stephen Evans,139,CHEM_LAB_112,CHEM_LAB_112,140,Thursday_2-3,2,300
MAC334,Dr. Kayode-Adedeji Tolulope,139,C301,C301,220,Thursday_1-2,2,300
MKT315,Unknown Lecturer,138,PHY_LAB,PHY_LAB,150,Thursday_4-5,2,300
MCM319,Unknown Lecturer,138,TEMP_HALL_1,TEMP_HALL_1,250,Monday_10-11,2,300
CVE312/332,Prof. Olatokunbo Ofuyatan,137,CHEM LAB (HALL113),CHEM LAB (HALL113),160,Friday_12-1,2,300
BCH318,Prof. Afolabi Israel Sunmola,137,E401B,E401B,180,Thursday_2-3,2,300
COS313,Unknown Lecturer,137,CHE 500LH,CHE 500LH,150,Thursday_3-4,2,300
EIE315,Unknown Lecturer,137,HALL307,HALL307,350,Thursday_12-1,2,300
MAC318/ CMS311,Prof. Omojola Oladokun,137,PTE 300LH,PTE 300LH,220,Saturday_1-2,2,300
PRE313/ CMS312,Unknown Lecturer,136,CEN500LH,CEN500LH,180,Friday_1-2,2,300
CVE/CEE31 1,Engr. Emmanuel Aremu,136,BIOLAB,BIOLAB,140,Thursday_8-9,2,300
PET318,Ms. Aghaulor Gift Ihienma,136,CVE 200LH,CVE 200LH,250,Friday_11-12,2,300
MCE311,Unknown Lecturer,136,LARGELH,LARGELH,1000,Friday_12-1,1,300
CEN311,Unknown Lecturer,136,E401A,E401A,180,Saturday_4-5,1,300
FAC311,Unknown Lecturer,135,PTE 300LH,PTE 300LH,220,Friday_9-10,2,300
ARC311/331,Prof. Oluwatayo Adedapo Adewunmi,135,LAB,LAB,150,Monday_2-3,3,300
ECN 311,Unknown Lecturer,135,STUDIO 300,STUDIO 300,180,Monday_8-9,2,300
MKT317,Unknown Lecturer,135,COMPUTER LAB,COMPUTER LAB,250,Wednesday_4-5,2,300
LIT313,Unknown Lecturer,135,BCH LAB,BCH LAB,180,Monday_8-9,2,300
CHM359,Dr. Ademosun Olabisi Theresa,134,LAB,LAB,150,Monday_4-5,2,300
MCE 310,Unknown Lecturer,134,HALL213PHYLAB,HALL213PHYLAB,150,Monday_4-5,2,300
EHR314,Unknown Lecturer,134,C401,C401,180,Wednesday_2-3,2,300
PSI 318,Unknown Lecturer,134,HALL204,HALL204,400,Tuesday_3-4,2,300
CIT 312,Unknown Lecturer,134,HALL107,HALL107,500,Saturday_8-9,1,300
POS311,Unknown Lecturer,134,C401,C401,180,Thursday_11-12,2,300
PSY315,Prof. Adekeye Olujide,134,CVE 300LH,CVE 300LH,220,Wednesday_4-5,2,300
PEE331/ PET517,Unknown Lecturer,133,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Friday_1-2,2,300
EIE314/ EEE334,Unknown Lecturer,133,B301,B301,200,Thursday_12-1,1,300
ACC 333,Prof. Uwuigbe Olubukola Ranti,133,H401,H401,180,Monday_4-5,4,300
PRE311,Unknown Lecturer,133,MCE 500LH,MCE 500LH,150,Saturday_2-3,1,300
FIN314,Unknown Lecturer,133,EIE500LH,EIE500LH,180,Tuesday_10-11,2,300
MAT314/ INT313,Dr. Imaga Ogbu Famous,133,LARGELH,LARGELH,1000,Wednesday_9-10,1,300
ECN313/ ECO316,Unknown Lecturer,133,CHE 500LH,CHE 500LH,150,Saturday_5-6,2,300
SOC 316,Dr. Egharevba Matthew Etinosa,133,F301,F301,220,Tuesday_2-3,2,300
PSS 317,Unknown Lecturer,133,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Monday_11-12,1,300
EEE514,Dr. Sanni Timilelehin Fiyinfoluwa,132,HALL204,HALL204,400,Monday_2-3,2,500
CHM314,Dr. Adedapo Emmanuel Adebusayo,132,HALL203,HALL203,400,Monday_3-4,2,300
BUD314,Unknown Lecturer,132,BCH_LAB,BCH_LAB,150,Tuesday_10-11,2,300
EHR 314,Unknown Lecturer,132,E101,E101,250,Saturday_9-10,2,300
ECN315,Unknown Lecturer,132,SQLNEWHORIZON,SQLNEWHORIZON,180,Friday_1-2,2,300
ARC316,Dr. Ekhaese Eghosa Noel,132,PHY_LAB,PHY_LAB,150,Thursday_9-10,2,300
MAT333,Dr. Agboola Olasunmbo Olaoluwa,132,A201,A201,220,Saturday_10-11,2,300
BUD316,Unknown Lecturer,132,E401A,E401A,180,Saturday_10-11,2,300
MCM 313,Unknown Lecturer,132,CHE 300LH,CHE 300LH,220,Saturday_12-1,2,300
MCB316,Unknown Lecturer,131,HALL302PHYLAB,HALL302PHYLAB,180,Friday_8-9,1,300
MAT 335/ IMT312,Mr. Adoghe Victor Osahon,131,CVE 400LH,CVE 400LH,180,Tuesday_8-9,2,300
IRL 312,Unknown Lecturer,131,STUDIO 100,STUDIO 100,280,Saturday_9-10,2,300
ACC318,Mr. Ogaba Moses,131,PET 300LH,PET 300LH,220,Saturday_11-12,1,300
ECN318,Unknown Lecturer,131,STUDIO 100,STUDIO 100,280,Saturday_3-4,2,300
ARC313,Dr. Jegede Oladunni Foluke,131,SQLNEWHORIZON,SQLNEWHORIZON,180,Wednesday_11-12,2,300
ACC317,Prof. Uwuigbe Olubukola Ranti,131,STUDIO 200,STUDIO 200,240,Thursday_4-5,2,300
MAT312,Prof. Akewe Hudson,131,E101,E101,250,Saturday_11-12,2,300
SOC314/334,Dr. Adetunde Christiana Olufunke,131,CENTRE CLASS CHE,CENTRE CLASS CHE,200,Wednesday_3-4,2,300
FIN317,Unknown Lecturer,131,E201,E201,250,Friday_12-1,2,300
PSI311,Unknown Lecturer,131,HALL213PHYLAB,HALL213PHYLAB,150,Thursday_1-2,2,300
ACC315,Dr. Okougbo Peace Onuwabhagbe,131,H301,H301,220,Wednesday_5-6,2,300
EEE515,Dr. Awelewa Ayokunle Ajibola,130,CHEM LAB (HALL111),CHEM LAB (HALL111),160,Saturday_8-9,2,500
EHR 316,Unknown Lecturer,130,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Tuesday_2-3,2,300
BUA314,Unknown Lecturer,129,COMPUTER LAB,COMPUTER LAB,250,Wednesday_12-1,2,300
MAT318,Mrs. Agbesuyi Moyosor Oluwabukunmi,129,HALL107,HALL107,500,Monday_10-11,2,300
CVE 311/ CEE 311,Prof. Olukanni David Olatunde,129,SQLNEWHORIZON,SQLNEWHORIZON,180,Thursday_1-2,2,300
ESM316/335,Unknown Lecturer,129,PTE 500LH,PTE 500LH,150,Wednesday_3-4,2,300
BCH315,Prof. Iweala Emeka Joshua,129,TEMP_HALL_2,TEMP_HALL_2,250,Tuesday_5-6,2,300
MAC335,Dr. Osere Nkem JaneFrances,129,CENTRE CLASS,CENTRE CLASS,180,Saturday_9-10,2,300
CIS 319,Ms. Tunde-Adeleke Ti-Jesu Rejoice,129,MCB_LAB,MCB_LAB,180,Saturday_9-10,2,300
LIT 313,Unknown Lecturer,129,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Saturday_1-2,2,300
ENG 312,Dr. Language Lecturer (LAN placeholder),128,STUDIO 200,STUDIO 200,240,Saturday_8-9,2,300
CIT314,Unknown Lecturer,128,HALL202,HALL202,450,Saturday_4-5,1,300
ARC 317/ 332,Mr. Ugah Uzodinma Kelechi,128,A201,A201,220,Monday_1-2,2,300
IRH315,Unknown Lecturer,128,HALL107,HALL107,500,Tuesday_8-9,1,300
BCH317,Prof. Adebayo Abiodun Humphrey,128,E301,E301,220,Thursday_3-4,2,300
INS312,Unknown Lecturer,128,HALL307,HALL307,350,Monday_3-4,2,300
EHR312,Unknown Lecturer,128,BCH_LAB,BCH_LAB,150,Wednesday_5-6,2,300
MCE310/MEE313,Unknown Lecturer,127,LT2,LT2,1400,Wednesday_3-4,2,300
ENG334,Dr. Language Lecturer (LAN placeholder),127,E401A,E401A,180,Friday_4-5,2,300
EEE317,Prof. Adoghe Uwakhonye Anthony,127,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Monday_5-6,3,300
EIE317,Unknown Lecturer,127,HALL201,HALL201,450,Saturday_12-1,1,300
MCE317,Unknown Lecturer,127,ICE500LH,ICE500LH,180,Wednesday_9-10,2,300
ESM312/33 2,Unknown Lecturer,127,STUDIO200,STUDIO200,220,Friday_12-1,2,300
MCB 314/ 332,Unknown Lecturer,127,CENTRE CLASS CHE,CENTRE CLASS CHE,200,Tuesday_4-5,2,300
MAT319/313,Prof. Samuel Iyase Azubuike,127,HALL213(PHY LAB),HALL213(PHY LAB),130,Tuesday_9-10,1,300
ESM311,Unknown Lecturer,127,BCH_LAB,BCH_LAB,150,Wednesday_11-12,2,300
HMD312,Unknown Lecturer,127,H301,H301,220,Friday_2-3,1,300
MCB317,Unknown Lecturer,127,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Monday_8-9,2,300
MTH312,Dr. Oluwadare Julius Remi,127,CEN500LH,CEN500LH,180,Saturday_2-3,2,300
MAT316,Mr. Adoghe Victor Osahon,126,F401,F401,180,Thursday_12-1,1,300
BCH311,Dr. Rotimi Oluwakemi Anuoluwapo,126,HALL213(PHY LAB),HALL213(PHY LAB),130,Saturday_2-3,2,300
SOC312/ SOC332,Dr. Olonade Olawale Yinusa,126,CHEMLAB(HALL 112),CHEMLAB(HALL 112),150,Wednesday_10-11,2,300
SOC336,Dr. Allo Tolulope Abiola,126,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Wednesday_2-3,2,300
FIN311,Unknown Lecturer,126,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Friday_10-11,2,300
ESM313,Unknown Lecturer,126,H301,H301,220,Tuesday_2-3,2,300
ACC333,Dr. Nwobu Obiamaka,126,G201,G201,220,Tuesday_10-11,1,300
EDS/ENT311,Unknown Lecturer,126,C401,C401,180,Monday_5-6,1,300
MCE 313,Unknown Lecturer,125,PHY_LAB,PHY_LAB,150,Tuesday_8-9,1,300
IRL314,Unknown Lecturer,125,E202,E202,250,Tuesday_2-3,3,300
ARC311/331/314,Mrs. Odiah Onyeka Esther Yvonne,125,BCH_LAB,BCH_LAB,150,Saturday_9-10,3,300
FIN313,Unknown Lecturer,125,HALL306,HALL306,350,Friday_4-5,2,300
BFN/ BFN 318,Unknown Lecturer,125,STUDIO 100,STUDIO 100,280,Friday_12-1,2,300
CVE331/CE E311,Engr. Emmanuel Aremu,125,PHY_LAB,PHY_LAB,150,Saturday_5-6,2,300
CIT 310,Unknown Lecturer,125,CHEMLAB(HALL 112),CHEMLAB(HALL 112),150,Thursday_9-10,1,300
CHM232,Dr. Ademosun Olabisi Theresa,125,HALL308,HALL308,250,Wednesday_9-10,2,300
CVE333/ CEE312,Engr. Chidiebere Ezenkwa,125,H401,H401,180,Friday_9-10,2,300
EIE 313,Unknown Lecturer,124,F401,F401,180,Wednesday_1-2,1,300
TCH314,Unknown Lecturer,124,BCH_LAB,BCH_LAB,150,Monday_1-2,2,300
BUS311,Unknown Lecturer,124,MCB_LAB,MCB_LAB,180,Saturday_3-4,1,300
MCB333,Unknown Lecturer,124,MCE 300LH,MCE 300LH,220,Friday_2-3,1,300
BIO217,Dr. Obafemi Yemisi Dorcas,124,H401,H401,180,Monday_1-2,2,200
PRE/MCM318,Unknown Lecturer,124,BCH LAB,BCH LAB,180,Wednesday_8-9,2,300
ACC 310/ 319,Dr. Omodero Onyinyechi Cordelia,124,CHE 500LH,CHE 500LH,150,Thursday_5-6,1,300
MCB312/319,Unknown Lecturer,123,B301,B301,200,Monday_5-6,2,300
CSC433,Mr. Ogbu Henry Nwagu,123,SQLNEWHORIZON,SQLNEWHORIZON,180,Monday_9-10,2,400
PSI314,Unknown Lecturer,123,G201,G201,220,Thursday_2-3,2,300
PSI312,Unknown Lecturer,123,H401,H401,180,Monday_12-1,1,300
PSY 314,Dr. Gbadebo Adejumo,123,E301,E301,220,Monday_8-9,2,300
PSS315,Unknown Lecturer,123,E301,E301,220,Monday_12-1,2,300
BIO 213,Dr. Bello Oluwakemi Adetutu,122,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Wednesday_12-1,2,200
PHY211,Unknown Lecturer,122,MCE 500LH,MCE 500LH,150,Wednesday_4-5,2,200
EEE418,Ms. Ademola Omolola Faith,122,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Thursday_12-1,2,400
ECO/ECN312,Dr. Agbonjaru Sonia Ifeoma,122,PTE 300LH,PTE 300LH,220,Monday_4-5,2,300
ECN317/ ECO314,Unknown Lecturer,122,COMPUTER_LAB,COMPUTER_LAB,300,Saturday_11-12,2,300
POS 313,Unknown Lecturer,122,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Monday_3-4,2,300
ACC 331,Dr. Alawode Olufemi Peter,121,MCE 500LH,MCE 500LH,150,Saturday_8-9,1,300
BCH 314/ 356,Prof. Afolabi Israel Sunmola,121,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Saturday_4-5,2,300
MCM315,Unknown Lecturer,121,STUDIO 300,STUDIO 300,180,Saturday_3-4,2,300
ENG332,Dr. English Lecturer (ENG placeholder),121,H401,H401,180,Friday_2-3,2,300
GET/GEC310,Unknown Lecturer,120,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Monday_8-9,2,300
MAT317/ MTH311,Mrs. Agbesuyi Moyosor Oluwabukunmi,120,G301,G301,200,Friday_5-6,2,300
GEC 312,Unknown Lecturer,120,CVE 500LH,CVE 500LH,150,Monday_8-9,1,300
CVE 534,Dr. Olofinnade Oluwarotimi Michael,119,HALL213PHYLAB,HALL213PHYLAB,150,Wednesday_9-10,2,500
PSY 312,Dr. Sussan Olufunmilola Adeusi,119,E401B,E401B,180,Friday_2-3,2,300
BCH332/351,Prof. Ogunlana Olubanke Olujoke,119,HALL203,HALL203,400,Thursday_9-10,3,300
CEN513,Unknown Lecturer,119,BIO_LAB,BIO_LAB,150,Monday_11-12,2,500
FIN 316,Unknown Lecturer,119,B301,B301,200,Friday_11-12,1,300
PSY310,Dr. Samson Femi Agberotimi,119,CENTRE CLASS,CENTRE CLASS,180,Saturday_1-2,2,300
BCH358,Prof. Iweala Emeka Joshua,119,GBL,GBL,200,Monday_10-11,1,300
PSY 313,Dr. Agoha Benedict,119,MCE 300LH,MCE 300LH,220,Thursday_3-4,2,300
BUD312,Unknown Lecturer,118,STUDIO100,STUDIO100,250,Saturday_1-2,2,300
MCE516,Unknown Lecturer,118,CENTRE CLASS,CENTRE CLASS,180,Thursday_3-4,2,500
MCM 317,Unknown Lecturer,118,CHEM LAB (HALL111),CHEM LAB (HALL111),160,Thursday_4-5,2,300
MCE 536,Unknown Lecturer,118,MCB_LAB,MCB_LAB,180,Tuesday_12-1,2,500
MCM330,Unknown Lecturer,118,LIBRARY,LIBRARY,500,Thursday_3-4,2,300
ACC331,Dr. Adegboye Alex Toluwalope,118,LAB,LAB,150,Monday_8-9,2,300
CHM313,Dr. Etchie Ayotunde Titilayo,117,SQL NEW HORIZON,SQL NEW HORIZON,180,Wednesday_3-4,2,300
IMT 315,Unknown Lecturer,117,F301,F301,220,Saturday_11-12,2,300
PET317,Mr. Ipinsokan Sunday Bolu,117,BIOLAB,BIOLAB,140,Tuesday_10-11,1,300
BLD517,Unknown Lecturer,117,HALL201,HALL201,450,Saturday_11-12,2,500
ENG333,Dr. English Lecturer (ENG placeholder),117,CVE 200LH,CVE 200LH,250,Wednesday_5-6,2,300
BUD311,Unknown Lecturer,117,CHE 200LH,CHE 200LH,250,Thursday_10-11,2,300
TCH/CHE3 15,Unknown Lecturer,117,MKT LAB,MKT LAB,120,Tuesday_2-3,2,300
BUA317,Unknown Lecturer,117,STUDIO100,STUDIO100,250,Wednesday_10-11,2,300
ESM515,Unknown Lecturer,117,CHE 300LH,CHE 300LH,220,Tuesday_3-4,2,500
CSC413,Dr. Jonathan Oluranti,117,EIE500LH,EIE500LH,180,Tuesday_2-3,1,400
ECN314/ ECO313,Unknown Lecturer,117,MCE 500LH,MCE 500LH,150,Wednesday_9-10,2,300
EIE311/33 4,Unknown Lecturer,117,HALL107,HALL107,500,Thursday_4-5,2,300
MAC 319,Dr. Yartey Darlynton Albert,116,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Wednesday_3-4,1,300
MCB 316/ 318,Unknown Lecturer,116,CHEM LAB (HALL111),CHEM LAB (HALL111),160,Tuesday_3-4,2,300
MCB313,Unknown Lecturer,116,MKT LAB,MKT LAB,120,Thursday_4-5,2,300
BCH 313,Prof. Afolabi Israel Sunmola,116,BCH LAB,BCH LAB,180,Monday_3-4,2,300
EEE 418,Dr. Orovwode Hope Evwieroghene,116,CHEM LAB (HALL113),CHEM LAB (HALL113),160,Wednesday_12-1,1,400
MKT311,Unknown Lecturer,116,HALL108,HALL108,350,Wednesday_1-2,2,300
CSC 413,Prof. Oyelade Jelili Olarenwaju,116,CVE 300LH,CVE 300LH,220,Tuesday_2-3,2,400
CVE318/338,Mrs. Temitayo K. Fagbola,116,CHE 400LH,CHE 400LH,180,Wednesday_8-9,2,300
CIT313,Unknown Lecturer,116,CHEM_LAB_111,CHEM_LAB_111,140,Tuesday_3-4,1,300
MAC 316,Dr. Nwantah Nkirukah Favour,115,E101,E101,250,Friday_10-11,2,300
CVE535,Dr. Oluwafemi John Oluwatobi,115,CHAPEL,CHAPEL,1200,Saturday_9-10,2,500
ARC 318/ FAA 311,Prof. Oluwatayo Adedapo Adewunmi,115,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Wednesday_8-9,2,300
EIE 517,Unknown Lecturer,115,STUDIO400,STUDIO400,120,Wednesday_2-3,1,500
BUA 315,Unknown Lecturer,115,LT2,LT2,1400,Friday_10-11,2,300
BUA316/BUS415,Unknown Lecturer,115,CHEM_LAB_112,CHEM_LAB_112,140,Tuesday_11-12,2,300/400
ARC312,Dr. Sholanke Anthony Babatunde,115,CEDS BUILDING,CEDS BUILDING,200,Wednesday_11-12,2,300
MCE552,Unknown Lecturer,115,HALL105PHYLAB,HALL105PHYLAB,150,Wednesday_12-1,2,500
BIO 219,Prof. Nwinyi Obinna Chukwuemeka,115,CHE 500LH,CHE 500LH,150,Tuesday_9-10,1,200
ESM318,Unknown Lecturer,115,ICE500LH,ICE500LH,180,Saturday_10-11,2,300
BUA312,Unknown Lecturer,114,MASS COMM STUDIO,MASS COMM STUDIO,120,Friday_5-6,2,300
CVE334,Prof. Ede Anthony Ekem,114,E202,E202,250,Wednesday_4-5,2,300
CVE435,Engr. Justin Lazarus Dillula,114,CHEM_LAB_113,CHEM_LAB_113,140,Saturday_8-9,2,300
CVE335/ CEE313,Dr. Oyebisi Solomon Olakunle,114,CHAPEL,CHAPEL,1200,Tuesday_12-1,2,300
MCE 553,Unknown Lecturer,114,STUDIO 300,STUDIO 300,180,Wednesday_1-2,2,500
PHY317,Unknown Lecturer,114,MASSCOM STUDIO,MASSCOM STUDIO,120,Wednesday_4-5,2,300
